graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,gnm_487,14.086312683453457,"[2.74493463063881, 2.5684139080295347, 2.2445859668672217, 2.01874882307858, 2.2298650750805047, 0.980730030032199, 1.1709319950987669, 0.8982822909499507, 1.1537365894935632, 0.9700785150320437]",2.74493463063881,0.980730030032199,"[2.1422249  2.1422249  2.1422249  2.1422249  2.1422249  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1422248982234677,0.8620742360644783,5,10,27,15.082682132720947,1,1052.0,0.0,0.0,487,gnm
known,static_conjecture,barabasi_488,7.684500543587745,"[2.619567255372229, 2.0794597516486633, 1.979821111004017, 2.0315426453651946, 1.9465948451899933, 1.466584093301579, 2.565214013374559, 1.166456625955612, 1.8107872191457317, 1.3769866017061063]",2.619567255372229,1.466584093301579,"[2.21419442 2.21419442 2.21419442 2.21419442 2.21419442 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2141944239970557,0.8620742360644783,5,10,9,6.92759370803833,1,916.0,0.0,0.0,488,barabasi
known,static_conjecture,watts_489,18.855794837677877,"[1.5456760101910907, 2.8971090063146097, 1.586816327765665, 2.8326439539397086, 1.5854996104291992, 0.6951106506766425, 2.339385661164229, 1.0983675847138217, 2.397235651327805, 0.7892344343719124]",1.5456760101910907,0.6951106506766425,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,15,30,12.806315660476685,1,763.0,0.0,0.0,489,watts
known,static_conjecture,gnm_490,7.2246359345153905,"[2.7198304783180354, 1.9267598282662097, 2.484782087316338, 1.8372923151785445, 2.8586425413767027, 0.9731489152248709, 2.4089275992008297, 2.1420825637368726, 2.008534875459876, 0.9571103037156671]",2.7198304783180354,0.9731489152248709,"[1.85651061 1.85651061 1.85651061 1.85651061 1.85651061 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8565106125091821,0.8620742360644783,5,6,10,6.70530891418457,1,1101.0,0.0,0.0,490,gnm
known,static_conjecture,watts_491,23.742804941015756,"[2.8928046890556685, 1.4780756706704388, 2.14418333426516, 2.2052596469975203, 1.2993785412072199, 0.14016257508918728, 3.1387197134507163, 1.2055915965745077, 1.5646380480603577, 1.3439346445352547]",2.8928046890556685,0.14016257508918728,"[1.57079633 1.57079633 1.57079633 1.57079633 1.57079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5707963267948966,0.8620742360644783,5,17,34,18.72110676765442,1,1384.0,0.0,0.0,491,watts
known,static_conjecture,barabasi_492,5.474770749689924,"[2.803078099567706, 2.654304029642015, 3.0803499360289464, 2.5881305820946654, 2.1173886330317195, 2.0241457278927037, 1.602304956462954, 1.8399711640364405, 1.7588669197266937, 1.4703066893394838]",2.803078099567706,2.0241457278927037,"[2.23017809 2.23017809 2.23017809 2.23017809 2.23017809 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.230178092584108,0.8620742360644783,5,7,6,6.008371114730835,1,1272.0,0.0,0.0,492,barabasi
known,static_conjecture,regular_493,17.891328963510773,"[2.6544259444524476, 1.8632779154361168, 1.6200443056386822, 2.1321353372633665, 1.5027319987629082, 1.53087399891823, 2.4394719197780828, 2.5625993238102844, 2.12058841548839, 0.810902577159457]",2.6544259444524476,1.53087399891823,"[1.97142857 1.97142857 1.97142857 1.97142857 1.97142857 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.971428571428571,0.8620742360644783,5,13,26,19.520716428756714,1,1248.0,0.0,0.0,493,regular
known,static_conjecture,barabasi_494,4.790060121948045,"[1.988379655732056, 2.455007563011347, 2.647150823700984, 1.698913040869717, 2.3864836591085146, 0.14682205971085732, 2.720097200183069, 0.9632047412414088, 2.8432999965587014, 0.21169004571624123]",1.988379655732056,0.14682205971085732,"[2.28139837 2.28139837 2.28139837 2.28139837 2.28139837 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.281398371365477,0.8620742360644783,5,6,5,5.5572075843811035,1,1211.0,0.0,0.0,494,barabasi
known,static_conjecture,watts_495,11.42812331289942,"[2.58617022946498, 0.34687518043755106, 2.5987901814323884, 2.1889747665527026, 1.119688246118156, 1.356668239586294, 2.2559444814406997, 1.0103007697747217, 1.6167902004842967, 0.7639957578460014]",2.58617022946498,1.356668239586294,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,13,13,20.224987268447876,1,1977.0,0.0,0.0,495,watts
known,static_conjecture,gnm_496,8.428265527632902,"[1.4128048493778032, 2.910089739169707, 2.8489606322296366, 1.662563648593717, 2.068966922196913, 1.1324506989572587, 2.5447929763655486, 1.690537802292479, 1.9778096680570347, 0.4587278056074995]",1.4128048493778032,1.1324506989572587,"[1.85651061 1.85651061 1.85651061 1.85651061 1.85651061 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8565106125091821,0.8620742360644783,5,6,13,11.084183692932129,1,1440.0,0.0,0.0,496,gnm
