n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
12,4.0,0.208,0.333,2,0.00018968719098033212,0.00024888088266857846,0.0,0.0001547036041205101,0.7172225333268638,2.173064038727579,3.141592653589793,1.930429218523598,0.8133443331662352,['regular']
12,4.0,0.389,0.333,2,0.7776076564338056,0.5341132771360794,1.1100211634092576,0.7174200053749761,2.349079079825497,2.3920221546835054,1.1169477876882066,2.1042466676910707,0.7126605962437617,['watts']
12,10.333,0.94,0.167,2,0.00030309151203266336,0.001063457910664108,6.529605805617165e-05,0.00032079868105917494,1.6898384993296207,2.828316020481288,1.8268184841715953,1.385818457734754,0.9208888189579385,['gnm']
13,1.846,0.0,0.538,2,1.172257601475395,0.5259312961764503,0.1016416683593613,0.6341216748600708,0.4272539405456996,2.7697021043844576,2.852509472775442,1.7325545408367657,0.751520519910885,['barabasi']
13,1.846,0.0,0.615,3,1.0917438237171186,0.6637902466238372,1.3576644677747483,0.37878155837414845,0.5708383028767258,2.68518044402459,1.7928574226556133,2.398121244996554,0.7352642571510879,['barabasi']
13,1.846,0.0,0.692,4,1.0205166774058714,0.5539174618256466,1.020477080680328,0.6512717534213689,1.0995334122886027,2.6242056339979754,1.6177789634547497,2.1070809911434702,0.7069202565963473,['barabasi']
13,2.0,0.0,0.385,3,0.9066942072078514,0.00022579490108370833,0.9066025055044534,0.0006391165810959534,1.4494210908190943,1.8932848752749354,2.2958198693949003,2.215214770875376,0.9027781942153714,['regular']
13,2.0,0.0,0.462,4,0.43799821161715713,0.16784965057848225,0.7809072987644645,0.36191545875253806,2.1553814698349636,1.9927027649252258,0.5732683419504648,2.263578729664649,0.8189503083525399,"['watts', 'regular']"
13,2.0,0.0,0.538,2,0.298349454723588,0.2822683021347273,0.1351180357973195,0.07529673295706032,0.6383667099614716,2.1064240919324444,3.046049774216902,1.9107075545493415,0.7962689024067906,['watts']
13,4.0,0.269,0.308,3,0.3395849627582183,0.3857938046300887,0.09069884002464837,0.27718020062718296,1.6083294329379754,1.2570525252516012,2.889246136175417,1.977351931317051,0.8479547246476159,['regular']
13,4.0,0.385,0.308,2,0.08198634254374845,0.6635019935466252,1.4108465397426149,0.4049328822876134,1.8185066097707727,1.4900570551856884,2.1307587426883727,1.6192752924198903,0.8429404527779805,"['watts', 'regular']"
14,1.857,0.0,0.571,4,0.5596636748752263,0.20460208284763873,0.7580948396001408,0.29379055775191837,1.119061345276038,2.2545378468296873,2.3444960655916436,1.380605660517383,0.7623574319617518,['barabasi']
14,2.0,0.0,0.429,2,0.00046201469302353077,0.00026088456766234163,0.00010471575581063104,0.0004317344427374597,2.496779527598317,1.8931645577688476,1.2482843942796547,2.215347597297428,0.8333338394864066,['regular']
14,2.0,0.0,0.5,5,0.6117452911472698,0.5736089342732184,0.629613472200638,0.15813067615835316,1.0374000512518704,2.4403085570370875,2.042668750015844,1.009312253845317,0.8137005368069614,['watts']
14,2.0,0.167,0.429,2,1.0256112289798642,0.6267661763436866,1.23495584308278,0.4335376112940309,1.0951385484301597,2.46369506366498,1.8957895380750425,2.8350352687443663,0.6799012182334458,['watts']
14,3.0,0.214,0.357,2,0.24109249275996958,0.3872547327238762,0.9458774734595445,0.07353643397075929,2.97111451706605,2.5749970328424023,2.4727562779349506,1.8818892595251255,0.8323718132959701,['regular']
15,1.867,0.0,0.533,5,0.7261547657879053,0.3302914571255614,0.8901758392681893,0.5767073580198379,1.0543279616900436,2.4753440599068424,1.8286652049430476,2.0164540288585764,0.7426843003484114,['barabasi']
15,1.867,0.0,0.6,3,0.875499440657347,0.3508816892922745,0.9818726143617675,0.35904118517508904,0.834189997173627,2.600962442945114,2.2717757578879625,2.0225286799663453,0.7288502056444566,['barabasi']
15,1.867,0.0,0.667,6,1.03060716623194,0.7023361812502649,1.0627682551284654,0.6725005320253619,1.3886514415493771,1.9556772069135844,1.6485688496397328,1.9859961833554325,0.7649261645836926,['barabasi']
15,2.0,0.0,0.4,2,0.056387192172568566,0.01083378394666852,0.2279843745654711,0.17822359507040783,0.8860734315421799,1.9010245221163795,2.9803833563299746,2.0897447579467636,0.8441070453130708,"['watts', 'regular']"
15,2.0,0.0,0.467,4,0.9661921721117616,0.45826167138306473,0.7922496031436019,0.6285555181089401,1.0934987675309644,2.2627952223431356,2.221188089185253,1.787912150580871,0.8530775224584062,"['watts', 'regular']"
15,4.0,0.167,0.333,3,0.024246269997120637,0.5048968653837523,1.0907947166463496,0.3248985866107081,1.7797753730345593,1.6340960892353777,1.6840520171215918,1.463655176192842,0.8497026418434702,['regular']
15,4.0,0.233,0.333,2,0.0025759177711481523,0.0008275737638498758,0.0038723703015853808,0.002428273040004829,2.7889336739097863,1.7013766455384043,1.2239189451502037,2.2895095609539737,0.927889707263868,['regular']
16,1.875,0.0,0.625,3,0.6125270082430542,0.16600170580636697,0.8000273725561164,0.34175966839242256,0.9758465236261374,2.3495094480367937,1.9171959313720068,1.4276458008094253,0.7631802843690795,['barabasi']
16,1.875,0.0,0.688,2,0.3960161846170815,0.10472231064389878,0.16411014611672786,0.08734800986113468,1.7372330175889867,2.133427148160213,1.8267359530710974,1.2374403568054735,0.738984531183044,['barabasi']
16,2.0,0.0,0.438,4,0.7997356051146051,0.007700062178398366,0.8529676747101919,0.12594598125580966,1.2987612756501599,1.8969711438532524,2.5069705463490695,2.152621472553932,0.8230829757691766,"['regular', 'watts']"
16,2.0,0.0,0.5,2,1.7357018960091803,0.17655522909971957,1.6780219189827918,0.01598985492454158,1.619151710347465,2.4793220265304803,1.7336837086072387,1.8607452176412846,0.8074964758719447,['watts']
16,2.0,0.0,0.562,2,1.1821163905211898,0.09051598164974366,2.1646168230011336,0.037110542859766,1.2251378587447608,2.2874640385975513,1.379080907169368,1.856690921386822,0.6859699758450504,['watts']
16,2.0,0.146,0.5,2,1.696705567886043,0.22553223072432146,2.802693024464185,2.004024838275223e-06,1.572389792239435,2.313678292293674,0.7851323962721628,3.141589920178482,0.7718950880216906,['watts']
16,3.0,0.062,0.375,2,0.03644273596648949,0.03660005805284236,3.401300872066734e-06,0.00015138595372608015,3.04257507691369,1.9731295910821793,3.1415902485068816,1.954605687895757,0.7480055500683723,['regular']
17,2.0,0.0,0.412,2,8.980856487590153e-06,4.497839726049746e-05,0.00012720762087940518,5.403044046485674e-06,2.4971125717452853,1.8930118890516563,1.2481203996872814,2.215656700178644,0.8854174155778656,['regular']
17,2.0,0.0,0.471,7,0.4346772978565486,0.4316039041406206,0.9050334087567848,0.5708352558760345,0.8236728849216491,2.143083522054802,2.5191465248890452,1.9228027122662945,0.7921784710541251,"['watts', 'regular']"
