graphname,p,restart_idx,gamma1,beta1,final_expectation,n_obj_calls
g002942,1,33,0.7807175907010356,0.7068197385345765,-31.498948214104843,3
g002942,1,34,0.14516030945609715,1.3107087779028923,-35.18281639157638,126
g002942,1,35,2.9958841458904044,0.2603762877033371,-35.18280712172671,66
g002942,1,36,2.4431621491674784,-0.0006423179774802594,-31.500108745593025,35
g002942,1,37,3.141592653589793,3.141592653589793,-31.499988734722137,8
g002942,1,38,1.7154959630421405,1.832322155059171,-35.182715093903965,51
g002942,1,39,3.141592653589793,3.0622277848370594,-31.50000324460052,8
g002942,2,0,3.0126194718557473,1.7264068110541104,-36.399949654904034,277
g002942,2,1,3.0178486900461765,1.963811841164607,-37.42945842885962,260
g002942,2,2,-1.3810061335306316,2.646035460233439,-36.537592680790965,418
g002942,2,3,1.3800543729656496,2.0594344533275875,-36.53763339475905,312
g002942,2,4,3.0179287937508166,1.9654415794228646,-37.42948887631336,255
g002942,2,5,0.1907121494779015,0.48658408374439754,-36.5376463970016,411
g002942,2,6,1.9286037065663297,3.141592653589793,-31.50010951807053,201
g002942,2,7,3.0176560169737465,1.9652918538941218,-37.429551985520725,306
g002942,2,8,2.437458998751791,3.0660935767796875,-31.536206023254802,205
g002942,2,9,1.760953248986052,1.0806227493074294,-36.53761761318288,314
g002942,2,10,2.9513559653773287,1.0833119459225746,-36.537548404287946,271
g002942,2,11,1.694307328861803,1.9656666908017288,-37.42943915726778,286
g002942,2,12,1.4411501593445046,1.4155936440164312,-36.39995615702128,455
g002942,2,13,2.4204401661094943,1.5706161438333028,-35.18303524499785,225
g002942,2,14,2.5437990815927347,1.563405745548204,-35.189960823203805,217
g002942,2,15,3.0130587163550784,1.7275317683612197,-36.3999972778241,315
g002942,2,16,2.1194745207034966,1.4135323499367511,-31.888099111211886,271
g002942,2,17,1.3804152987255771,0.49176390234850603,-36.53767101996169,291
g002942,2,18,2.9515935089929477,1.080689758401221,-36.53763822067788,407
g002942,2,19,1.6977819285896254,1.727176752771499,-36.39964890153509,254
g002942,2,20,1.6988827260069812,1.728365517840569,-36.39990922630114,255
g002942,2,21,0.19035588571857098,2.060800835400976,-36.537636154497584,443
g002942,2,22,2.9955891384617903,1.9162862505156295,-35.18289253162598,224
g002942,2,23,2.9957806313984294,2.4133264401879053,-35.182884834506694,175
g002942,2,24,3.0180191379917543,1.964529133933489,-37.42951447316009,305
g002942,2,25,3.0174171770573808,0.3934351295237155,-37.42943503863251,212
g002942,2,26,1.69936896563483,1.7262662930951271,-36.39998797638585,255
g002942,2,27,0.18969667087869227,2.062197985808042,-36.53765770114476,329
g002942,2,28,2.161763115789977,1.5688428944763542,-35.18327631744799,240
g002942,2,29,3.0131613674227413,1.7272413570569758,-36.400019208967954,337
g002942,2,30,2.505530517823323,-0.004208859979752273,-35.18529169883507,201
g002942,2,31,1.4464477247594838,1.1754146800784997,-37.429211212921906,370
g002942,2,32,1.7171144033311716,2.196611670094776,-35.18285313526229,177
g002942,2,33,-0.6747620275019777,1.5678889149595556,-35.18351652859306,232
g002942,2,34,1.6993029193847309,0.1566735830368857,-36.40001547341603,341
g002942,2,35,3.0176137669906247,1.9651188201069911,-37.4295331794096,238
g002942,2,36,3.014995060061219,1.7270633635975279,-36.398904154888335,220
g002942,2,37,3.017733927252846,1.965382140767743,-37.42952942116916,285
g002942,2,38,1.4456229500658226,1.178092547115548,-37.428893960580396,209
g002942,2,39,2.4424592080837364,1.5708400471206554,-35.18288700690684,219
