graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
gnm_10,18.36517939381176,"[2.9457710962421055, 1.2913324108132282, 0.30876672329341853, 3.0986969598510514]",2.945771096242105,0.3087667232934185,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,11,31,0.5063838958740234,1,176.0,0.0,0.0,10,gnm,11,31,5.6364,1.2264,0.484,-0.0896,0.2727,23,0.7984860606005114
barabasi_11,5.113447679063029,"[-0.4323178679091071, 3.141590023626801, 2.8754139074496443, 2.229393147737764]",-0.4323178679091071,2.8754139074496443,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,7,0.1304562091827392,1,106.0,0.0,0.0,11,barabasi,8,7,1.75,1.299,0.0,-0.5867,0.625,7,0.7304925255804327
barabasi_12,11.067241599660417,"[1.3538633211333417, 2.188583683658557, 1.752889450004334, 1.2014622880582366]",1.3538633211333415,1.752889450004334,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,16,15,0.2793226242065429,1,123.0,0.0,0.0,12,barabasi,16,15,1.875,1.317,0.0,-0.2698,0.625,15,0.7378161066440277
watts_13,16.17486648043054,"[1.8971382190693298, 3.0213721121337223, 1.1706032967124589, 2.319195095746776]",1.8971382190693296,1.1706032967124589,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,14,28,0.4301168918609619,1,164.0,0.0,0.0,13,watts,14,28,4.0,1.0,0.3714,-0.2473,0.3571,21,0.7702317371633591
watts_14,11.583326799553625,"[0.5393245780165075, 2.902607617956045, 1.904717175920838, 0.8761013834008646]",0.5393245780165075,1.904717175920838,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,15,0.669546365737915,1,295.0,0.0,0.0,14,watts,15,15,2.0,0.8165,0.1111,-0.1471,0.4667,14,0.8273804856824017
regular_15,15.957592618900078,"[1.9204799026736086, 1.4519951690680077, 1.9243248446398682, 0.8621837711750377]",1.9204799026736088,1.924324844639868,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,24,0.7734487056732178,1,299.0,0.0,0.0,15,regular,12,24,4.0,0.0,0.3333,0.0,0.3333,18,0.8865329232722265
barabasi_16,11.452228750299383,"[1.9045462939195155, 3.0265562569934703, 1.162520332598575, 2.3913459764937235]",1.9045462939195157,1.162520332598575,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,18,0.581963062286377,1,165.0,0.0,0.0,16,barabasi,19,18,1.8947,1.8323,0.0,-0.4088,0.6316,18,0.6362349305721879
gnm_17,44.6302816573779,"[1.9817650509256597, 2.118810952621743, 1.8610752632127352, 1.226690547284248]",1.98176505092566,1.8610752632127352,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,89,2.0482711791992188,1,243.0,0.0,0.0,17,gnm,15,89,11.8667,1.2037,0.8384,-0.0595,0.2,54,0.8264866973588499
gnm_18,65.45746304294475,"[3.141592653589793, 1.71432317355305, 2.390371037467115, 1.9452374058495008]",3.141592653589793,2.390371037467115,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,18,125,3.0387368202209477,1,195.0,0.0,0.0,18,gnm,18,125,13.8889,1.7603,0.8283,-0.1312,0.1667,75,0.87276617390593
watts_19,13.350781603304716,"[0.503394085427503, 2.921222812193608, 1.9064653818575064, 0.8501858164673881]",0.503394085427503,1.9064653818575064,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,17,17,0.7639179229736328,1,335.0,0.0,0.0,19,watts,17,17,2.0,0.8402,0.0,-0.242,0.5294,16,0.8344238502065447
barabasi_20,15.800682150389108,"[0.24531088673701387, 2.5498799978326607, 2.9204750214754434, 1.7917163477854885]",0.2453108867370138,2.920475021475444,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,14,24,0.5966553688049316,1,214.0,0.0,0.0,20,barabasi,14,24,3.4286,2.0603,0.6996,-0.3958,0.4286,18,0.8778156750216171
