n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
8,3.0,0.25,0.375,3,0.19720901581328412,0.2672206223589225,0.7559269048454914,0.060014967981913976,3.0277339752233723,2.015710317699419,2.686297763429744,1.8944485664185986,0.8194798414001525,['regular']
8,3.0,0.333,0.375,1,0.0,0.0,0.0,0.0,2.9114849344262357,2.701916704817351,2.0438465748601176,1.841208028152482,0.8604983776513109,['gnm']
8,3.0,0.446,0.375,1,0.0,0.0,0.0,0.0,1.924939329469095,3.006674862756345,1.2120193498565799,2.3016308771619913,0.7855245442442538,['gnm']
8,3.0,0.5,0.375,1,0.0,0.0,0.0,0.0,3.141582834470459,1.8454610276638173,3.1031184132109755,1.8997385834175053,0.7760196482791798,['regular']
8,3.25,0.396,0.375,1,0.0,0.0,0.0,0.0,2.9116038917156195,2.087252775227209,1.856245944667124,1.4675745350364995,0.7489845153597178,['gnm']
8,3.5,0.342,0.375,1,0.0,0.0,0.0,0.0,0.3429832138307828,3.023236612775686,1.9663681150211278,0.7958396849270646,0.7976173540893493,['gnm']
8,3.5,0.592,0.375,1,0.0,0.0,0.0,0.0,2.9149231692155078,2.054121496076858,1.8740460938584524,1.4479629101342888,0.8084691977285481,['gnm']
8,4.0,0.375,0.25,1,0.0,0.0,0.0,0.0,1.7661764845469827,1.9315501710750187,1.0971603231276705,1.2851394480620648,0.9169769834885908,['regular']
8,4.0,0.375,0.375,3,0.31739264955180063,0.13677582070565839,0.9762718711267918,0.5821978427958304,1.399602325210678,1.7733774475921171,2.225075185339958,1.9579432690181948,0.9066353110115163,['regular']
8,4.0,0.438,0.25,1,0.0,0.0,0.0,0.0,1.2350473696032322,1.6777809613291077,2.772983651792254,2.299937989108347,0.8810351881112032,['regular']
8,4.0,0.462,0.375,1,0.0,0.0,0.0,0.0,0.9075873485057061,1.9920150657310063,3.1414937547427213,1.8949541602442255,0.826343802851549,['watts']
8,4.0,0.467,0.25,1,0.0,0.0,0.0,0.0,2.9030229351732966,1.4046386559685835,0.322838977026827,3.096787396099827,0.7630807254546688,['watts']
8,4.0,0.475,0.375,1,0.0,0.0,0.0,0.0,2.894480427783118,1.9895440963984978,1.888662412504177,1.6572230656048192,0.7631162109898398,['watts']
8,4.0,0.488,0.5,1,0.0,0.0,0.0,0.0,1.2051288821868749,2.87863136028254,2.122589091201305,1.103268661561887,0.6469354509871874,['watts']
8,4.0,0.5,0.25,1,0.0,0.0,0.0,0.0,2.9258398344169994,2.1259169696362528,1.7711677300167785,1.3648515288532843,0.8597782991664643,['regular']
8,4.0,0.508,0.375,1,0.0,0.0,0.0,0.0,1.1624245757931302,1.7249564068867704,2.9908426315473653,1.9862220945083582,0.8414126781499364,['gnm']
8,4.0,0.538,0.375,1,0.0,0.0,0.0,0.0,2.920245256438041,2.080392515028578,1.8555027927042222,1.748619437194436,0.8390148060877133,['watts']
8,4.0,0.558,0.375,1,0.0,0.0,0.0,0.0,2.95297315139914,2.754019096408801,2.0000855530134225,1.820634660634255,0.8794965061154016,['watts']
8,4.0,0.562,0.25,2,0.6924703495891859,0.7746032195544594,0.8988739544594256,0.3251780033827197,2.450435270105726,1.4935552008450779,2.4865928050933204,1.6540908276804427,0.8623459193129397,['watts']
8,4.0,0.638,0.25,2,0.000674555704381611,0.0008725491358157155,0.0003167503074667254,0.0006866396187214013,1.8106877355818063,2.737986278260762,2.8422268702674653,2.2272476786762097,0.727592072590293,['watts']
8,4.25,0.554,0.5,1,0.0,0.0,0.0,0.0,1.0260007071858404,1.8905696471577544,3.141592653589793,1.8758635149447414,0.7905170332428846,['gnm']
8,4.5,0.767,0.25,1,0.0,0.0,0.0,0.0,1.6447117884565974,2.8939002503772895,2.3013843911706884,2.395352625591867,0.8434216038979986,['gnm']
